CERTIFICATION,GENRE,APPELLATION,MENTION,LIEU,COULEUR,CEPAGE,LIBELLE_PRODUIT,IDENTIFIANT INAO
AOP,Tranquille,,,,,,AOP Tranquille,VT_IG_AOP
AOP,Mousseux,Gaillac,,,Blanc,,AOP Gaillac Mousseux,1B128M
AOP,Mousseux,Gaillac,Méthode ancestrale,,Blanc,,AOP Gaillac Mousseux Méthode ancestrale,1B128M 1
AOP,Mousseux,Gaillac,Méthode ancestrale,,Doux,,AOP Gaillac Mousseux Méthode ancestrale Doux,1B128M 2
AOP,Mousseux,Hors Sud-ouest,,,Blanc,,AOP Hors Sud-ouest Mousseux,VM_IG_AOP
AOP,Mousseux,Hors Sud-ouest,,,Rosé,,AOP Hors Sud-ouest Mousseux,VM_IG_AOP
AOP,Mousseux,,,,,,AOP Mousseux,VM_IG_AOP
AOP,VCI,Cahors,,,Rouge,,VCI Cahors Rouge,1R111S99
AOP,VCI,Bordeaux,,,Rouge,,VCI Bordeaux Rouge,1R105S99
VDN-VDL,,Floc de Gascogne,,,Rosé,,Floc de Gascogne Rosé,AUTRES_PI_INF_18
VDN-VDL,,Floc de Gascogne,,,Blanc,,Floc de Gascogne Blanc,AUTRES_PI_INF_18
VDN-VDL,,Vin de Liqueur AOP (Sup 18°),,,Blanc,,Vin de Liqueur AOP (Sup 18°) Blanc,VDN_VDL_AOP_SUP_18
VDN-VDL,,Vin de Liqueur AOP (Sup 18°),,,Rosé,,Vin de Liqueur AOP (Sup 18°) Rosé,VDN_VDL_AOP_SUP_18
VDN-VDL,,Vin de Liqueur AOP (Sup 18°),,,Rouge,,Vin de Liqueur AOP (Sup 18°) Rouge,VDN_VDL_AOP_SUP_18
VDN-VDL,,Vin de Liqueur AOP (Inf 18°),,,Blanc,,Vin de Liqueur AOP (Inf 18°) Blanc,VDN_VDL_AOP_INF_18
VDN-VDL,,Vin de Liqueur AOP (Inf 18°),,,Rosé,,Vin de Liqueur AOP (Inf 18°) Rosé,VDN_VDL_AOP_INF_18
VDN-VDL,,Vin de Liqueur AOP (Inf 18°),,,Rouge,,Vin de Liqueur AOP (Inf 18°) Rouge,VDN_VDL_AOP_INF_18
VDN-VDL,,Vin de Liqueur AOP (Inf 18°),,,,,Vin de Liqueur AOP (Inf 18°),VDN_VDL_AOP_INF_18
VDN-VDL,,Autres produits intermédiaires que VDL-VDN AOP (Sup 18°),,,Blanc,,Autres produits intermédiaires que VDL-VDN AOP (Sup 18°) Blanc,AUTRES_PI_SUP_18
VDN-VDL,,Autres produits intermédiaires que VDL-VDN AOP (Sup 18°),,,Rosé,,Autres produits intermédiaires que VDL-VDN AOP (Sup 18°) Rosé,AUTRES_PI_SUP_18
VDN-VDL,,Autres produits intermédiaires que VDL-VDN AOP (Sup 18°),,,Rouge,,Autres produits intermédiaires que VDL-VDN AOP (Sup 18°) Rouge,AUTRES_PI_SUP_18
VDN-VDL,,,Autres produits intermédiaires que VDL-VDN AOP (Inf 18°),,Blanc,,Autres produits intermédiaires que VDL-VDN AOP (Inf 18°) Blanc,AUTRES_PI_INF_18
VDN-VDL,,,Autres produits intermédiaires que VDL-VDN AOP (Inf 18°),,Rosé,,Autres produits intermédiaires que VDL-VDN AOP (Inf 18°) Rosé,AUTRES_PI_INF_18
VDN-VDL,,,Autres produits intermédiaires que VDL-VDN AOP (Inf 18°),,Rouge,,Autres produits intermédiaires que VDL-VDN AOP (Inf 18°) Rouge,AUTRES_PI_INF_18
VDN-VDL,,,Autres produits intermédiaires que VDL-VDN AOP (Inf 18°),,,,Autres produits intermédiaires que VDL-VDN AOP (Inf 18°),AUTRES_PI_INF_18
VDN-VDL,,,Autres produits intermédiaires que VDL-VDN AOP (Inf 18°) - PREMIX,,,,Autres produits intermédiaires que VDL-VDN AOP (Inf 18°) - PREMIX,AUTRES_PI_INF_18_PREMIX
VDN-VDL,,Vin de Liqueur AOP (Sup 18°),,,,,Vin de Liqueur AOP (Sup 18°),VDN_VDL_AOP_SUP_18
Alcools,Autres alcools,Alcools supérieur 18° (autres que Rhum),,,,,Alcools supérieur 18° (autres que Rhum) Autres alcools,ALCOOL_AUTRE_SUP_18
Alcools,Autres alcools,Alcool inférieur 18° (autres que Rhum),,,,,Alcool inférieur 18° (autres que Rhum) Autres alcools,ALCOOL_AUTRE_INF_18
Alcools,Autres alcools,PREMIX Alcool inférieur 18°,,,,,PREMIX Alcool inférieur 18° Autres alcools,ALCOOL_AUTRE_INF_18_PREMIX
Alcools,Autres alcools,RHUM (hors DOM),,,,,RHUM (hors DOM) Autres alcools,RHUM_TIERS_ET_AUTRES
Alcools,Autres alcools,ARMAGNAC,,,,,ARMAGNAC Autres alcools,ALCOOL_AUTRE_SUP_18
Alcools,Autres alcools,ARMAGNAC,BLANCHE,,,,ARMAGNAC Autres alcools BLANCHE,ALCOOL_AUTRE_SUP_18
Alcools,Autres alcools,,,,,,Autres alcools,
Alcools,,Matières premières spiritueux,,,,,Matières premières spiritueux,MATIERES_PREMIERES_SPIRITUEUX
Alcools,,Matières premières alcools,,,,,Matières premières alcools,MATIERES_PREMIERES_ALCOOLS
Autres Vins,,Pétillants,,,Rosé,,Pétillants Rosé,PETILLANTS
Autres Vins,,Pétillants,,,Rouge,,Pétillants Rouge,PETILLANTS
Autres Vins,,Pétillants,,,Blanc,,Pétillants Blanc,PETILLANTS
Autres Vins,,Pétillants Prémix,,,,,Pétillants Prémix,PETILLANTS_PREMIX
Autres Vins,,Vins tranquilles étrangers,,,Rouge,,Vins tranquilles étrangers Rouge,VT_ETRANGERS
Autres Vins,,Vins tranquilles étrangers,,,Rosé,,Vins tranquilles étrangers Rosé,VT_ETRANGERS
Autres Vins,,Vins tranquilles étrangers,,,Blanc sec,,Vins tranquilles étrangers Blanc sec,VT_ETRANGERS
Autres Vins,,Vins tranquilles étrangers,,,Blanc doux,,Vins tranquilles étrangers Blanc doux,VT_ETRANGERS
Autres Vins,,Vins mousseux étrangers,,,,,Vins mousseux étrangers,VM_ETRANGERS
Autres Vins,Tranquille,,,,,,Tranquille,
Autres Vins,Mousseux,,,,,,Mousseux,
