"entrees_achatnoncrd"
"entrees_revendique"
"sorties_export"
"sorties_vraccontrat"
"sorties_vracsanscontratsuspendu"
"sorties_ventefrancebouteillecrd"
"sorties_consommationfamilialedegustation"
