#interpro;categorie_libelle;categorie_code;genre_libelle;genre_code;denomination_libelle;denomination_code;mention_libelle;mention_code;lieu_libelle;lieu_code;couleur_libelle;couleur_code;cepage_libelle;cepage_code;departements;douane_code;douane_libelle;douane_taxe;douane_date;douane_noeud;cvo_taxe;cvo_date;cvo_noeud;repli_entree;repli_sorti;declassement_entree;declassement_sorti;densite;labels;code_produit;code_produit_noeud;code_analytique;code_comptable_noeud;code_douane;code_douane_noeud;alias_produit
inter-loire;IGP;IGP;;TRANQ;Côtes de la Charité;CDLC;;;;;Blanc;3;;MULTI;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B582  ;;
inter-loire;IGP;IGP;;TRANQ;Côtes de la Charité;CDLC;;;;;Blanc;3;Pinot gris;PIN;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B582 AA;;
inter-loire;IGP;IGP;;TRANQ;Côtes de la Charité;CDLC;;;;;Blanc;3;Sauvignon blanc;SAU;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B582 AE;;
inter-loire;IGP;IGP;;TRANQ;Côtes de la Charité;CDLC;;;;;Blanc;3;Chardonnay blanc;CHA;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B582 CA;;
inter-loire;IGP;IGP;;TRANQ;Côtes de la Charité;CDLC;;;;;Blanc;3;Multi cépage;MULTI;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B582 00;;
inter-loire;IGP;IGP;;TRANQ;Côtes de la Charité;CDLC;;;;;Blanc;3;Pinot blanc;PIN;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B582 59;;
inter-loire;IGP;IGP;;TRANQ;Côtes de la Charité;CDLC;;;;;Rouge;1;;;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3R582   ;;
inter-loire;IGP;IGP;;TRANQ;Côtes de la Charité;CDLC;;;;;Rouge;1;Pinot noir;PIN;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3R582 AB;;
inter-loire;IGP;IGP;;TRANQ;Côtes de la Charité;CDLC;;;;;Rouge;1;Gamay;GAM;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3R582 CM;;
inter-loire;IGP;IGP;;TRANQ;Côtes de la Charité;CDLC;;;;;Rouge;1;Multi cépage;MULTI;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3R582 00;;
inter-loire;IGP;IGP;;TRANQ;Côtes de la Charité;CDLC;;;;;Rosé;2;;;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S582   ;;
inter-loire;IGP;IGP;;TRANQ;Côtes de la Charité;CDLC;;;;;Rosé;2;Pinot noir;PIN;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S582 AB;;
inter-loire;IGP;IGP;;TRANQ;Côtes de la Charité;CDLC;;;;;Rosé;2;Gamay;GAM;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S582 CM;;
inter-loire;IGP;IGP;;TRANQ;Côtes de la Charité;CDLC;;;;;Rosé;2;Multi cépage;MULTI;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S582 00;;
inter-loire;IGP;IGP;;TRANQ;Côteaux de Tannay;CTXT;;;;;Blanc;3;;;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B583   ;;
inter-loire;IGP;IGP;;TRANQ;Côteaux de Tannay;CTXT;;;;;Blanc;3;Pinot gris;PIN;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B583 AA;;
inter-loire;IGP;IGP;;TRANQ;Côteaux de Tannay;CTXT;;;;;Blanc;3;Auxerrois;AUX;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B583 AZ;;
inter-loire;IGP;IGP;;TRANQ;Côteaux de Tannay;CTXT;;;;;Blanc;3;Chardonnay blanc;CHA;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B583 CA;;
inter-loire;IGP;IGP;;TRANQ;Côteaux de Tannay;CTXT;;;;;Blanc;3;Melon blanc;MEL;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B583 DK;;
inter-loire;IGP;IGP;;TRANQ;Côteaux de Tannay;CTXT;;;;;Blanc;3;Multi cépage;MULTI;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B583 00;;
inter-loire;IGP;IGP;;TRANQ;Côteaux de Tannay;CTXT;;;;;Blanc;3;Pinot blanc;PIN;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B583 59;;
inter-loire;IGP;IGP;;TRANQ;Côteaux de Tannay;CTXT;;;;;Rouge;1;;;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3R583   ;;
inter-loire;IGP;IGP;;TRANQ;Côteaux de Tannay;CTXT;;;;;Rouge;1;Pinot noir;PIN;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3R583 AB;;
inter-loire;IGP;IGP;;TRANQ;Côteaux de Tannay;CTXT;;;;;Rouge;1;Gamay noir;GAM;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3R583 CM;;
inter-loire;IGP;IGP;;TRANQ;Côteaux de Tannay;CTXT;;;;;Rouge;1;Multi cépage;MULTI;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3R583 00;;
inter-loire;IGP;IGP;;TRANQ;Côteaux de Tannay;CTXT;;;;;Rosé;2;;;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S583   ;;
inter-loire;IGP;IGP;;TRANQ;Côteaux de Tannay;CTXT;;;;;Rosé;2;Pinot noir;PIN;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S583 AB;;
inter-loire;IGP;IGP;;TRANQ;Côteaux de Tannay;CTXT;;;;;Rosé;2;Gamay noir;GAM;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S583 CM;;
inter-loire;IGP;IGP;;TRANQ;Côteaux de Tannay;CTXT;;;;;Rosé;2;Multi cépage;MULTI;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S583 00;;
inter-loire;Sans IG;VdP;;TRANQ;Vin de Table;;;;;;Blanc;3;;;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;4B999   ;;
inter-loire;Sans IG;VdP;EFF;EFF;Vin de Table;;;;;;Blanc;3;;;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;4B999M  ;;
inter-loire;Sans IG;VdP;;TRANQ;Vin de Table;;;;;;Rouge;1;;;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;4R999   ;;
inter-loire;Sans IG;VdP;EFF;EFF;Vin de Table;;;;;;Rouge;1;;;;L620;Vins Mousseux;4;;G;-1;;C;;;;;;;;;;;4R999M  ;;
inter-loire;Sans IG;VdP;;TRANQ;Vin de Table;;;;;;Rosé;2;;;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;4S999   ;;
inter-loire;Sans IG;VdP;EFF;EFF;Vin de Table;;;;;;Rosé;2;;;;L620;Vins Mousseux;4;;G;-1;;C;;;;;;;;;;;4S999M  ;;
inter-loire;Autres;AUTRES;;;Jus de Raisin;JUS;;;;;;;;;;;;0;;C;-1;;C;;;;;;;;;;;;;
inter-loire;Autres;AUTRES;;;Moûts de Vin concentré;MVC;;;;;;;;;;;;0;;C;-1;;C;;;;;;;;;;;;;
inter-loire;Autres;AUTRES;;;Vinaigre;VINA;;;;;;;;;;;;0;;C;-1;;C;;;;;;;;;;;;;
