#appellations;Dates;Taux
certifications/AOC;1900-01-01;0;
certifications/AOC;2012-01-01;3;
certifications/AOC/genres/TRANQ/appellations/QCY/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/DEFAUT;2014-01-01;4;
certifications/AOC/genres/TRANQ/appellations/QCY/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/DEFAUT;2017-01-01;3;
