"details_entrees_recolte"
"details_entrees_revendication"
"details_entrees_repli"
"details_sorties_creationvrac"
"details_sorties_creationvractirebouche"
"details_sorties_apportgroupement"
"details_sorties_export"
"details_sorties_vracsanscontratacquitte"
"details_sorties_ventefrancecrd"
"detailsACQUITTE_entrees_recolte"
"detailsACQUITTE_entrees_reintegration"
"detailsACQUITTE_sorties_ventefrancecrd"
"detailsACQUITTE_sorties_ventefrancedsa"
"detailsACQUITTE_sorties_export"
"detailsACQUITTE_sorties_consommationfamilialedegustation"
"detailsACQUITTE_sorties_destructionperte"
