CERTIFICATION,GENRE,APPELLATION,MENTION,LIEU,COULEUR,CEPAGE,LIBELLE_PRODUIT,IDENTIFIANT INAO
AOC,,AOC Alsace Communale,,Côte de Rouffach,Rouge,Pinot Noir,AOC Alsace Communale Côte de Rouffach Pinot Noir,1R057S
AOC,,AOC Alsace Communale,,Coteaux du Haut-Koenigsbourg,Blanc,Riesling,AOC Alsace Communale Coteaux du Haut-Koenigsbourg Riesling,1B066S04
AOC,,AOC Alsace Communale,,Coteaux du Haut-Koenigsbourg,Blanc,Gewurztraminer,AOC Alsace Communale Coteaux du Haut-Koenigsbourg Gewurztraminer,1B066S01
AOC,,AOC Alsace Communale,,Klevener de Heiligenstein,Blanc,Klevener de Heiligenstein,AOC Alsace Communale Klevener de Heiligenstein Klevener de Heiligenstein,1B054S
AOC,,AOC Alsace Communale,,Ottrott,Rouge,Pinot Noir,AOC Alsace Communale Ottrott Pinot Noir,1R058S
AOC,,AOC Alsace Communale,,Rodern,Rouge,Pinot Noir,AOC Alsace Communale Rodern Pinot Noir,1R059S
AOC,,AOC Alsace Communale,,Saint Hippolyte,Rouge,Pinot Noir,AOC Alsace Communale Saint Hippolyte Pinot Noir,1R060S
AOC,,AOC Alsace Communale,,Vallée Noble,Blanc,Riesling,AOC Alsace Communale Vallée Noble Riesling,1B062S04
AOC,,AOC Alsace Communale,,Vallée Noble,Blanc,Pinot Gris,AOC Alsace Communale Vallée Noble Pinot Gris,1B062S03
AOC,,AOC Alsace Communale,,Vallée Noble,Blanc,Gewurztraminer,AOC Alsace Communale Vallée Noble Gewurztraminer,1B062S01
AOC,,AOC Alsace Communale,,Val Saint Grégoire,Blanc,Auxerrois,AOC Alsace Communale Val Saint Grégoire Auxerrois,1B063S0A
AOC,,AOC Alsace Communale,,Val Saint Grégoire,Blanc,Pinot Blanc,AOC Alsace Communale Val Saint Grégoire Pinot Blanc,1B063S06
AOC,,AOC Alsace Communale,,Val Saint Grégoire,Blanc,Pinot Gris,AOC Alsace Communale Val Saint Grégoire Pinot Gris,1B063S03
AOC,,AOC Alsace Communale,,Scherwiller,Blanc,Riesling,AOC Alsace Communale Scherwiller Riesling,1B061S
AOC,,AOC Alsace Communale,,Wolxheim,Blanc,Riesling,AOC Alsace Communale Wolxheim Riesling,1B064S
AOC,,AOC Alsace Communale,VT,Bergheim,Blanc,Gewurztraminer,AOC Alsace Communale Bergheim Gewurztraminer VT,1B065D11
AOC,,AOC Alsace Communale,VT,Côte de Rouffach,Blanc,Riesling,AOC Alsace Communale Côte de Rouffach Riesling VT,1B057D14
AOC,,AOC Alsace Communale,VT,Côte de Rouffach,Blanc,Pinot Gris,AOC Alsace Communale Côte de Rouffach Pinot Gris VT,1B057D13
AOC,,AOC Alsace Communale,VT,Côte de Rouffach,Blanc,Gewurztraminer,AOC Alsace Communale Côte de Rouffach Gewurztraminer VT,1B057D11
AOC,,AOC Alsace Communale,VT,Coteaux du Haut-Koenigsbourg,Blanc,Riesling,AOC Alsace Communale Coteaux du Haut-Koenigsbourg Riesling VT,1B066D14
AOC,,AOC Alsace Communale,VT,Coteaux du Haut-Koenigsbourg,Blanc,Gewurztraminer,AOC Alsace Communale Coteaux du Haut-Koenigsbourg Gewurztraminer VT,1B066D11
AOC,,AOC Alsace Communale,VT,Vallée Noble,Blanc,Riesling,AOC Alsace Communale Vallée Noble Riesling VT,1B062D14
AOC,,AOC Alsace Communale,VT,Vallée Noble,Blanc,Pinot Gris,AOC Alsace Communale Vallée Noble Pinot Gris VT,1B062D13
AOC,,AOC Alsace Communale,VT,Vallée Noble,Blanc,Gewurztraminer,AOC Alsace Communale Vallée Noble Gewurztraminer VT,1B062D11
AOC,,AOC Alsace Communale,VT,Val Saint Grégoire,Blanc,Pinot Gris,AOC Alsace Communale Val Saint Grégoire Pinot Gris VT,1B063D13
AOC,,AOC Alsace Communale,VT,Scherwiller,Blanc,Riesling,AOC Alsace Communale Scherwiller Riesling VT,1B061D14
AOC,,AOC Alsace Communale,VT,Wolxheim,Blanc,Riesling,AOC Alsace Communale Wolxheim Riesling VT,1B064D14
AOC,,AOC Alsace Communale,SGN,Bergheim,Blanc,Gewurztraminer,AOC Alsace Communale Bergheim Gewurztraminer SGN,1B065D61
AOC,,AOC Alsace Communale,SGN,Côte de Rouffach,Blanc,Riesling,AOC Alsace Communale Côte de Rouffach Riesling SGN,1B057D64
AOC,,AOC Alsace Communale,SGN,Côte de Rouffach,Blanc,Pinot Gris,AOC Alsace Communale Côte de Rouffach Pinot Gris SGN,1B057D63
AOC,,AOC Alsace Communale,SGN,Côte de Rouffach,Blanc,Gewurztraminer,AOC Alsace Communale Côte de Rouffach Gewurztraminer SGN,1B057D61
AOC,,AOC Alsace Communale,SGN,Coteaux du Haut-Koenigsbourg,Blanc,Riesling,AOC Alsace Communale Coteaux du Haut-Koenigsbourg Riesling SGN,1B066D64
AOC,,AOC Alsace Communale,SGN,Coteaux du Haut-Koenigsbourg,Blanc,Gewurztraminer,AOC Alsace Communale Coteaux du Haut-Koenigsbourg Gewurztraminer SGN,1B066D61
AOC,,AOC Alsace Communale,SGN,Vallée Noble,Blanc,Riesling,AOC Alsace Communale Vallée Noble Riesling SGN,1B062D64
AOC,,AOC Alsace Communale,SGN,Vallée Noble,Blanc,Pinot Gris,AOC Alsace Communale Vallée Noble Pinot Gris SGN,1B062D63
AOC,,AOC Alsace Communale,SGN,Vallée Noble,Blanc,Gewurztraminer,AOC Alsace Communale Vallée Noble Gewurztraminer SGN,1B062D61
AOC,,AOC Alsace Communale,SGN,Val Saint Grégoire,Blanc,Pinot Gris,AOC Alsace Communale Val Saint Grégoire Pinot Gris SGN,1B063D63
AOC,,AOC Alsace Communale,SGN,Scherwiller,Blanc,Riesling,AOC Alsace Communale Scherwiller Riesling SGN,1B061D64
AOC,,AOC Alsace Communale,SGN,Wolxheim,Blanc,Riesling,AOC Alsace Communale Wolxheim Riesling SGN,1B064D64
AOC,,AOC Alsace Grand Cru,,Kanzlerberg,,Riesling,AOC Alsace Grand Cru Kanzlerberg Riesling,1B018S 4
AOC,,AOC Alsace Grand Cru,,Kanzlerberg,,Pinot Gris,AOC Alsace Grand Cru Kanzlerberg Pinot Gris,1B018S 3
AOC,,AOC Alsace Grand Cru,,Kanzlerberg,,Muscat,AOC Alsace Grand Cru Kanzlerberg Muscat,1B018S 2
AOC,,AOC Alsace Grand Cru,,Kanzlerberg,,Gewurztraminer,AOC Alsace Grand Cru Kanzlerberg Gewurztraminer,1B018S 1
